"","YMD","Year","Transect","Area","AreaTP","AreaYear","TimePeriod","doy","CPUE"
"46","2019-07-17","2019","HH52","Construction Site","Construction Site-Pre","Construction Site-2019","Pre",198,0
"47","2019-08-20","2019","HH52","Construction Site","Construction Site-Pre","Construction Site-2019","Pre",232,1
"48","2019-10-16","2019","HH52","Construction Site","Construction Site-Pre","Construction Site-2019","Pre",289,2
"49","2020-07-16","2020","HH52","Construction Site","Construction Site-Pre","Construction Site-2020","Pre",198,0
"50","2020-09-23","2020","HH52","Construction Site","Construction Site-Pre","Construction Site-2020","Pre",267,3
"51","2020-10-21","2020","HH52","Construction Site","Construction Site-Pre","Construction Site-2020","Pre",295,1
"52","2021-07-29","2021","HH52","Construction Site","Construction Site-Construction","Construction Site-2021","Construction",210,0
"53","2021-08-24","2021","HH52","Construction Site","Construction Site-Construction","Construction Site-2021","Construction",236,0
"54","2021-10-20","2021","HH52","Construction Site","Construction Site-Construction","Construction Site-2021","Construction",293,1
"55","2022-08-02","2022","HH52","Construction Site","Construction Site-Post","Construction Site-2022","Post",214,0
"56","2022-10-24","2022","HH52","Construction Site","Construction Site-Post","Construction Site-2022","Post",297,4
"57","2023-05-11","2023","HH52","Construction Site","Construction Site-Post","Construction Site-2023","Post",131,0
"58","2023-07-21","2023","HH52","Construction Site","Construction Site-Post","Construction Site-2023","Post",202,0
"59","2023-10-03","2023","HH52","Construction Site","Construction Site-Post","Construction Site-2023","Post",276,20
"60","2018-05-30","2018","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",150,0
"61","2018-06-26","2018","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",177,0
"62","2018-08-09","2018","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",221,0
"63","2018-10-11","2018","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",284,0
"64","2019-05-21","2019","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,9
"65","2019-06-11","2019","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",162,3
"66","2019-07-17","2019","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",198,0
"67","2019-08-20","2019","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",232,2
"68","2019-10-16","2019","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",289,0
"69","2020-07-16","2020","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",198,0
"70","2020-09-23","2020","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",267,8
"71","2020-10-21","2020","HH53","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",295,1
"72","2021-07-28","2021","HH53","Piers 5-7","Piers 5-7-Construction","Piers 5-7-2021","Construction",209,0
"73","2021-08-24","2021","HH53","Piers 5-7","Piers 5-7-Construction","Piers 5-7-2021","Construction",236,2
"74","2021-10-20","2021","HH53","Piers 5-7","Piers 5-7-Construction","Piers 5-7-2021","Construction",293,0
"75","2022-08-02","2022","HH53","Piers 5-7","Piers 5-7-Post","Piers 5-7-2022","Post",214,2
"76","2022-10-24","2022","HH53","Piers 5-7","Piers 5-7-Post","Piers 5-7-2022","Post",297,5
"77","2023-05-11","2023","HH53","Piers 5-7","Piers 5-7-Post","Piers 5-7-2023","Post",131,0
"78","2023-07-21","2023","HH53","Piers 5-7","Piers 5-7-Post","Piers 5-7-2023","Post",202,1
"79","2023-10-04","2023","HH53","Piers 5-7","Piers 5-7-Post","Piers 5-7-2023","Post",277,0
"80","2018-05-30","2018","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",150,0
"81","2018-06-26","2018","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",177,0
"82","2018-10-11","2018","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2018","Pre",284,0
"83","2019-05-21","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",141,0
"84","2019-06-11","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",162,1
"85","2019-06-13","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",164,0
"86","2019-07-16","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",197,0
"87","2019-08-20","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",232,0
"88","2019-10-16","2019","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2019","Pre",289,0
"89","2020-07-16","2020","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",198,0
"90","2020-09-23","2020","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",267,0
"91","2020-10-21","2020","HH54","Piers 5-7","Piers 5-7-Pre","Piers 5-7-2020","Pre",295,0
"92","2021-07-28","2021","HH54","Piers 5-7","Piers 5-7-Construction","Piers 5-7-2021","Construction",209,0
"93","2021-08-25","2021","HH54","Piers 5-7","Piers 5-7-Construction","Piers 5-7-2021","Construction",237,0
"94","2021-10-20","2021","HH54","Piers 5-7","Piers 5-7-Construction","Piers 5-7-2021","Construction",293,0
"95","2022-08-02","2022","HH54","Piers 5-7","Piers 5-7-Post","Piers 5-7-2022","Post",214,4
"96","2022-10-24","2022","HH54","Piers 5-7","Piers 5-7-Post","Piers 5-7-2022","Post",297,2
"97","2023-07-21","2023","HH54","Piers 5-7","Piers 5-7-Post","Piers 5-7-2023","Post",202,13
"98","2023-10-04","2023","HH54","Piers 5-7","Piers 5-7-Post","Piers 5-7-2023","Post",277,2
"99","2018-05-28","2018","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",148,2
"100","2018-06-26","2018","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",177,1
"101","2018-10-11","2018","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,0
"102","2019-05-23","2019","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,1
"103","2019-06-12","2019","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",163,3
"104","2019-07-17","2019","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",198,0
"105","2019-08-21","2019","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",233,4
"106","2019-10-16","2019","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",289,1
"107","2020-07-16","2020","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",198,0
"108","2020-09-24","2020","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,2
"109","2020-10-20","2020","HH55","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,1
"110","2021-07-28","2021","HH55","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",209,6
"111","2021-08-25","2021","HH55","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",237,1
"112","2021-10-19","2021","HH55","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",292,14
"113","2022-08-04","2022","HH55","Macassa Bay","Macassa Bay-Post","Macassa Bay-2022","Post",216,2
"114","2022-10-25","2022","HH55","Macassa Bay","Macassa Bay-Post","Macassa Bay-2022","Post",298,14
"115","2023-09-27","2023","HH55","Macassa Bay","Macassa Bay-Post","Macassa Bay-2023","Post",270,6
"116","2018-05-28","2018","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",148,0
"117","2018-06-26","2018","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",177,2
"118","2018-10-11","2018","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,0
"119","2019-05-23","2019","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,0
"120","2019-06-12","2019","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",163,0
"121","2019-07-17","2019","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",198,0
"122","2019-08-21","2019","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",233,0
"123","2019-10-16","2019","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",289,0
"124","2020-07-16","2020","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",198,0
"125","2020-09-24","2020","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,2
"126","2020-10-20","2020","HH56","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,1
"127","2021-07-28","2021","HH56","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",209,0
"128","2021-08-26","2021","HH56","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",238,1
"129","2021-10-19","2021","HH56","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",292,1
"130","2022-08-04","2022","HH56","Macassa Bay","Macassa Bay-Post","Macassa Bay-2022","Post",216,1
"131","2022-10-25","2022","HH56","Macassa Bay","Macassa Bay-Post","Macassa Bay-2022","Post",298,7
"132","2023-10-03","2023","HH56","Macassa Bay","Macassa Bay-Post","Macassa Bay-2023","Post",276,5
"133","2018-05-28","2018","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",148,0
"134","2018-06-26","2018","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",177,0
"135","2018-10-11","2018","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,0
"136","2019-05-23","2019","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,0
"137","2019-06-18","2019","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",169,0
"138","2019-07-17","2019","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",198,0
"139","2019-08-21","2019","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",233,0
"140","2019-10-16","2019","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",289,1
"141","2020-07-16","2020","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",198,0
"142","2020-09-24","2020","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,0
"143","2020-10-20","2020","HH57","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,0
"144","2021-07-28","2021","HH57","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",209,0
"145","2021-08-26","2021","HH57","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",238,0
"146","2021-10-19","2021","HH57","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",292,0
"147","2022-08-04","2022","HH57","Macassa Bay","Macassa Bay-Post","Macassa Bay-2022","Post",216,3
"148","2022-10-25","2022","HH57","Macassa Bay","Macassa Bay-Post","Macassa Bay-2022","Post",298,5
"149","2018-05-28","2018","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",148,0
"150","2018-06-27","2018","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",178,0
"151","2018-08-09","2018","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",221,0
"152","2018-10-11","2018","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,0
"153","2019-05-23","2019","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,0
"154","2019-06-18","2019","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",169,0
"155","2019-07-17","2019","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",198,0
"156","2019-08-21","2019","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",233,0
"157","2019-10-16","2019","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",289,0
"158","2020-07-16","2020","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",198,0
"159","2020-09-24","2020","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,0
"160","2020-10-20","2020","HH58","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,0
"161","2021-07-28","2021","HH58","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",209,2
"162","2021-08-26","2021","HH58","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",238,0
"163","2021-10-19","2021","HH58","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",292,3
"164","2022-08-04","2022","HH58","Macassa Bay","Macassa Bay-Post","Macassa Bay-2022","Post",216,9
"165","2023-09-27","2023","HH58","Macassa Bay","Macassa Bay-Post","Macassa Bay-2023","Post",270,2
"166","2018-05-29","2018","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",149,0
"167","2018-06-27","2018","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",178,2
"168","2018-08-09","2018","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",221,0
"169","2018-10-11","2018","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,0
"170","2019-05-23","2019","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,0
"171","2019-06-18","2019","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",169,0
"172","2019-07-17","2019","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",198,0
"173","2019-08-21","2019","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",233,2
"174","2019-10-16","2019","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",289,3
"175","2020-07-16","2020","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",198,0
"176","2020-09-24","2020","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",268,4
"177","2020-10-20","2020","HH59","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",294,0
"178","2021-07-29","2021","HH59","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",210,0
"179","2021-08-26","2021","HH59","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",238,1
"180","2021-10-19","2021","HH59","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",292,2
"181","2022-10-25","2022","HH59","Macassa Bay","Macassa Bay-Post","Macassa Bay-2022","Post",298,8
"182","2023-09-27","2023","HH59","Macassa Bay","Macassa Bay-Post","Macassa Bay-2023","Post",270,17
"183","2018-05-29","2018","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",149,1
"184","2018-06-27","2018","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",178,1
"185","2018-10-11","2018","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2018","Pre",284,0
"186","2019-05-23","2019","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",143,0
"187","2019-06-18","2019","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",169,2
"188","2019-07-17","2019","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",198,1
"189","2019-08-21","2019","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",233,3
"190","2019-10-16","2019","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2019","Pre",289,0
"191","2020-07-16","2020","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",198,1
"192","2020-09-21","2020","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",265,8
"193","2020-10-21","2020","HH60","Macassa Bay","Macassa Bay-Pre","Macassa Bay-2020","Pre",295,3
"194","2021-07-28","2021","HH60","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",209,3
"195","2021-08-26","2021","HH60","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",238,3
"196","2021-10-19","2021","HH60","Macassa Bay","Macassa Bay-Construction","Macassa Bay-2021","Construction",292,16
"197","2023-09-27","2023","HH60","Macassa Bay","Macassa Bay-Post","Macassa Bay-2023","Post",270,8
