"","Transect","Year","YMD","Area","AreaYear","TimePeriod","doy","Count"
"35","HH51","2022","2022-08-05","Piers 5-7","Piers 5-7-2022","Post",217,3
"36","HH51","2022","2022-10-24","Piers 5-7","Piers 5-7-2022","Post",297,9
"37","HH51","2023","2023-05-10","Piers 5-7","Piers 5-7-2023","Post",130,4
"38","HH51","2023","2023-07-20","Piers 5-7","Piers 5-7-2023","Post",201,4
"39","HH51","2023","2023-10-03","Piers 5-7","Piers 5-7-2023","Post",276,8
"40","HH52","2018","2018-05-30","Construction Site","Construction Site-2018","Pre",150,2
"41","HH52","2018","2018-06-26","Construction Site","Construction Site-2018","Pre",177,3
"42","HH52","2018","2018-08-09","Construction Site","Construction Site-2018","Pre",221,2
"43","HH52","2019","2019-05-21","Construction Site","Construction Site-2019","Pre",141,3
"44","HH52","2019","2019-06-11","Construction Site","Construction Site-2019","Pre",162,5
"45","HH52","2019","2019-07-17","Construction Site","Construction Site-2019","Pre",198,1
"46","HH52","2019","2019-08-20","Construction Site","Construction Site-2019","Pre",232,3
"47","HH52","2019","2019-10-16","Construction Site","Construction Site-2019","Pre",289,3
"48","HH52","2020","2020-07-16","Construction Site","Construction Site-2020","Pre",198,1
"49","HH52","2020","2020-09-23","Construction Site","Construction Site-2020","Pre",267,8
"50","HH52","2020","2020-10-21","Construction Site","Construction Site-2020","Pre",295,5
"51","HH52","2021","2021-07-29","Construction Site","Construction Site-2021","Construction",210,1
"52","HH52","2021","2021-08-24","Construction Site","Construction Site-2021","Construction",236,1
"53","HH52","2021","2021-10-20","Construction Site","Construction Site-2021","Construction",293,4
"54","HH52","2022","2022-08-02","Construction Site","Construction Site-2022","Post",214,1
"55","HH52","2022","2022-10-24","Construction Site","Construction Site-2022","Post",297,5
"56","HH52","2023","2023-05-11","Construction Site","Construction Site-2023","Post",131,1
"57","HH52","2023","2023-07-21","Construction Site","Construction Site-2023","Post",202,2
"58","HH52","2023","2023-10-03","Construction Site","Construction Site-2023","Post",276,11
"59","HH53","2018","2018-05-30","Piers 5-7","Piers 5-7-2018","Pre",150,5
"60","HH53","2018","2018-06-26","Piers 5-7","Piers 5-7-2018","Pre",177,2
"61","HH53","2018","2018-08-09","Piers 5-7","Piers 5-7-2018","Pre",221,1
"62","HH53","2019","2019-05-21","Piers 5-7","Piers 5-7-2019","Pre",141,9
"63","HH53","2019","2019-06-11","Piers 5-7","Piers 5-7-2019","Pre",162,6
"64","HH53","2019","2019-07-17","Piers 5-7","Piers 5-7-2019","Pre",198,1
"65","HH53","2019","2019-08-20","Piers 5-7","Piers 5-7-2019","Pre",232,3
"66","HH53","2019","2019-10-16","Piers 5-7","Piers 5-7-2019","Pre",289,4
"67","HH53","2020","2020-07-16","Piers 5-7","Piers 5-7-2020","Pre",198,1
"68","HH53","2020","2020-09-23","Piers 5-7","Piers 5-7-2020","Pre",267,5
"69","HH53","2020","2020-10-21","Piers 5-7","Piers 5-7-2020","Pre",295,3
"70","HH53","2021","2021-07-28","Piers 5-7","Piers 5-7-2021","Construction",209,3
"71","HH53","2021","2021-08-24","Piers 5-7","Piers 5-7-2021","Construction",236,5
"72","HH53","2021","2021-10-20","Piers 5-7","Piers 5-7-2021","Construction",293,3
"73","HH53","2022","2022-08-02","Piers 5-7","Piers 5-7-2022","Post",214,7
"74","HH53","2022","2022-10-24","Piers 5-7","Piers 5-7-2022","Post",297,7
"75","HH53","2023","2023-05-11","Piers 5-7","Piers 5-7-2023","Post",131,6
"76","HH53","2023","2023-07-21","Piers 5-7","Piers 5-7-2023","Post",202,2
"77","HH53","2023","2023-10-04","Piers 5-7","Piers 5-7-2023","Post",277,1
"78","HH54","2018","2018-05-30","Piers 5-7","Piers 5-7-2018","Pre",150,1
"79","HH54","2019","2019-05-21","Piers 5-7","Piers 5-7-2019","Pre",141,3
"80","HH54","2019","2019-06-11","Piers 5-7","Piers 5-7-2019","Pre",162,4
"81","HH54","2019","2019-07-16","Piers 5-7","Piers 5-7-2019","Pre",197,1
"82","HH54","2019","2019-08-20","Piers 5-7","Piers 5-7-2019","Pre",232,1
"83","HH54","2019","2019-10-16","Piers 5-7","Piers 5-7-2019","Pre",289,2
"84","HH54","2020","2020-07-16","Piers 5-7","Piers 5-7-2020","Pre",198,1
"85","HH54","2020","2020-09-23","Piers 5-7","Piers 5-7-2020","Pre",267,3
"86","HH54","2020","2020-10-21","Piers 5-7","Piers 5-7-2020","Pre",295,3
"87","HH54","2021","2021-07-28","Piers 5-7","Piers 5-7-2021","Construction",209,1
"88","HH54","2021","2021-08-25","Piers 5-7","Piers 5-7-2021","Construction",237,1
"89","HH54","2021","2021-10-20","Piers 5-7","Piers 5-7-2021","Construction",293,2
"90","HH54","2022","2022-08-02","Piers 5-7","Piers 5-7-2022","Post",214,2
"91","HH54","2022","2022-10-24","Piers 5-7","Piers 5-7-2022","Post",297,6
"92","HH54","2023","2023-07-21","Piers 5-7","Piers 5-7-2023","Post",202,10
"93","HH54","2023","2023-10-04","Piers 5-7","Piers 5-7-2023","Post",277,4
"94","HH55","2018","2018-05-28","Macassa Bay","Macassa Bay-2018","Pre",148,5
"95","HH55","2018","2018-06-26","Macassa Bay","Macassa Bay-2018","Pre",177,2
"96","HH55","2019","2019-05-23","Macassa Bay","Macassa Bay-2019","Pre",143,7
"97","HH55","2019","2019-06-12","Macassa Bay","Macassa Bay-2019","Pre",163,10
"98","HH55","2019","2019-07-17","Macassa Bay","Macassa Bay-2019","Pre",198,1
"99","HH55","2019","2019-08-21","Macassa Bay","Macassa Bay-2019","Pre",233,4
"100","HH55","2019","2019-10-16","Macassa Bay","Macassa Bay-2019","Pre",289,8
"101","HH55","2020","2020-07-16","Macassa Bay","Macassa Bay-2020","Pre",198,3
"102","HH55","2020","2020-09-24","Macassa Bay","Macassa Bay-2020","Pre",268,10
"103","HH55","2020","2020-10-20","Macassa Bay","Macassa Bay-2020","Pre",294,9
"104","HH55","2021","2021-07-28","Macassa Bay","Macassa Bay-2021","Construction",209,7
"105","HH55","2021","2021-08-25","Macassa Bay","Macassa Bay-2021","Construction",237,4
"106","HH55","2021","2021-10-19","Macassa Bay","Macassa Bay-2021","Construction",292,10
"107","HH55","2022","2022-08-04","Macassa Bay","Macassa Bay-2022","Post",216,10
"108","HH55","2022","2022-10-25","Macassa Bay","Macassa Bay-2022","Post",298,9
"109","HH55","2023","2023-09-27","Macassa Bay","Macassa Bay-2023","Post",270,12
"110","HH56","2018","2018-05-28","Macassa Bay","Macassa Bay-2018","Pre",148,3
"111","HH56","2018","2018-06-26","Macassa Bay","Macassa Bay-2018","Pre",177,8
"112","HH56","2019","2019-05-23","Macassa Bay","Macassa Bay-2019","Pre",143,2
"113","HH56","2019","2019-06-12","Macassa Bay","Macassa Bay-2019","Pre",163,3
"114","HH56","2019","2019-08-21","Macassa Bay","Macassa Bay-2019","Pre",233,2
"115","HH56","2019","2019-10-16","Macassa Bay","Macassa Bay-2019","Pre",289,6
"116","HH56","2020","2020-07-16","Macassa Bay","Macassa Bay-2020","Pre",198,1
"117","HH56","2020","2020-09-24","Macassa Bay","Macassa Bay-2020","Pre",268,7
"118","HH56","2020","2020-10-20","Macassa Bay","Macassa Bay-2020","Pre",294,4
"119","HH56","2021","2021-07-28","Macassa Bay","Macassa Bay-2021","Construction",209,4
"120","HH56","2021","2021-08-26","Macassa Bay","Macassa Bay-2021","Construction",238,2
"121","HH56","2021","2021-10-19","Macassa Bay","Macassa Bay-2021","Construction",292,3
"122","HH56","2022","2022-08-04","Macassa Bay","Macassa Bay-2022","Post",216,7
"123","HH56","2022","2022-10-25","Macassa Bay","Macassa Bay-2022","Post",298,6
"124","HH56","2023","2023-10-03","Macassa Bay","Macassa Bay-2023","Post",276,9
"125","HH57","2018","2018-05-28","Macassa Bay","Macassa Bay-2018","Pre",148,3
"126","HH57","2018","2018-06-26","Macassa Bay","Macassa Bay-2018","Pre",177,2
"127","HH57","2019","2019-05-23","Macassa Bay","Macassa Bay-2019","Pre",143,2
"128","HH57","2019","2019-06-18","Macassa Bay","Macassa Bay-2019","Pre",169,1
"129","HH57","2019","2019-07-17","Macassa Bay","Macassa Bay-2019","Pre",198,1
"130","HH57","2019","2019-08-21","Macassa Bay","Macassa Bay-2019","Pre",233,1
"131","HH57","2019","2019-10-16","Macassa Bay","Macassa Bay-2019","Pre",289,7
"132","HH57","2020","2020-07-16","Macassa Bay","Macassa Bay-2020","Pre",198,1
"133","HH57","2020","2020-09-24","Macassa Bay","Macassa Bay-2020","Pre",268,2
"134","HH57","2020","2020-10-20","Macassa Bay","Macassa Bay-2020","Pre",294,4
"135","HH57","2021","2021-07-28","Macassa Bay","Macassa Bay-2021","Construction",209,4
"136","HH57","2021","2021-08-26","Macassa Bay","Macassa Bay-2021","Construction",238,1
"137","HH57","2021","2021-10-19","Macassa Bay","Macassa Bay-2021","Construction",292,4
"138","HH57","2022","2022-08-04","Macassa Bay","Macassa Bay-2022","Post",216,6
"139","HH57","2022","2022-10-25","Macassa Bay","Macassa Bay-2022","Post",298,6
"140","HH58","2018","2018-05-28","Macassa Bay","Macassa Bay-2018","Pre",148,2
"141","HH58","2018","2018-06-27","Macassa Bay","Macassa Bay-2018","Pre",178,2
"142","HH58","2018","2018-08-09","Macassa Bay","Macassa Bay-2018","Pre",221,1
"143","HH58","2019","2019-05-23","Macassa Bay","Macassa Bay-2019","Pre",143,3
"144","HH58","2019","2019-08-21","Macassa Bay","Macassa Bay-2019","Pre",233,8
"145","HH58","2019","2019-10-16","Macassa Bay","Macassa Bay-2019","Pre",289,2
"146","HH58","2020","2020-07-16","Macassa Bay","Macassa Bay-2020","Pre",198,2
"147","HH58","2020","2020-09-24","Macassa Bay","Macassa Bay-2020","Pre",268,7
"148","HH58","2020","2020-10-20","Macassa Bay","Macassa Bay-2020","Pre",294,3
"149","HH58","2021","2021-07-28","Macassa Bay","Macassa Bay-2021","Construction",209,5
"150","HH58","2021","2021-08-26","Macassa Bay","Macassa Bay-2021","Construction",238,2
"151","HH58","2021","2021-10-19","Macassa Bay","Macassa Bay-2021","Construction",292,8
"152","HH58","2022","2022-08-04","Macassa Bay","Macassa Bay-2022","Post",216,8
"153","HH58","2023","2023-09-27","Macassa Bay","Macassa Bay-2023","Post",270,7
"154","HH59","2018","2018-05-29","Macassa Bay","Macassa Bay-2018","Pre",149,6
"155","HH59","2018","2018-06-27","Macassa Bay","Macassa Bay-2018","Pre",178,7
"156","HH59","2018","2018-08-09","Macassa Bay","Macassa Bay-2018","Pre",221,3
"157","HH59","2019","2019-05-23","Macassa Bay","Macassa Bay-2019","Pre",143,4
"158","HH59","2019","2019-06-18","Macassa Bay","Macassa Bay-2019","Pre",169,2
"159","HH59","2019","2019-08-21","Macassa Bay","Macassa Bay-2019","Pre",233,3
"160","HH59","2019","2019-10-16","Macassa Bay","Macassa Bay-2019","Pre",289,6
"161","HH59","2020","2020-07-16","Macassa Bay","Macassa Bay-2020","Pre",198,3
"162","HH59","2020","2020-09-24","Macassa Bay","Macassa Bay-2020","Pre",268,12
"163","HH59","2020","2020-10-20","Macassa Bay","Macassa Bay-2020","Pre",294,7
"164","HH59","2021","2021-07-29","Macassa Bay","Macassa Bay-2021","Construction",210,6
"165","HH59","2021","2021-08-26","Macassa Bay","Macassa Bay-2021","Construction",238,7
"166","HH59","2021","2021-10-19","Macassa Bay","Macassa Bay-2021","Construction",292,9
"167","HH59","2022","2022-10-25","Macassa Bay","Macassa Bay-2022","Post",298,8
"168","HH59","2023","2023-09-27","Macassa Bay","Macassa Bay-2023","Post",270,10
"169","HH60","2018","2018-05-29","Macassa Bay","Macassa Bay-2018","Pre",149,10
"170","HH60","2018","2018-06-27","Macassa Bay","Macassa Bay-2018","Pre",178,4
"171","HH60","2019","2019-05-23","Macassa Bay","Macassa Bay-2019","Pre",143,5
"172","HH60","2019","2019-06-18","Macassa Bay","Macassa Bay-2019","Pre",169,5
"173","HH60","2019","2019-07-17","Macassa Bay","Macassa Bay-2019","Pre",198,2
"174","HH60","2019","2019-08-21","Macassa Bay","Macassa Bay-2019","Pre",233,7
"175","HH60","2019","2019-10-16","Macassa Bay","Macassa Bay-2019","Pre",289,9
"176","HH60","2020","2020-07-16","Macassa Bay","Macassa Bay-2020","Pre",198,7
"177","HH60","2020","2020-09-21","Macassa Bay","Macassa Bay-2020","Pre",265,9
"178","HH60","2020","2020-10-21","Macassa Bay","Macassa Bay-2020","Pre",295,7
"179","HH60","2021","2021-07-28","Macassa Bay","Macassa Bay-2021","Construction",209,8
"180","HH60","2021","2021-08-26","Macassa Bay","Macassa Bay-2021","Construction",238,3
"181","HH60","2021","2021-10-19","Macassa Bay","Macassa Bay-2021","Construction",292,12
"182","HH60","2023","2023-09-27","Macassa Bay","Macassa Bay-2023","Post",270,15
