"","Year","Area","AreaYear","Common_Name","mean_abundance_sp_per_year_transect"
"96","2020","Construction Site","Construction Site-2020","Rock bass",1
"97","2020","Construction Site","Construction Site-2020","Shorthead redhorse",1
"98","2020","Construction Site","Construction Site-2020","White perch",1
"99","2020","Construction Site","Construction Site-2020","Yellow perch",2
"100","2020","Macassa Bay","Macassa Bay-2020","Alewife",1
"101","2020","Macassa Bay","Macassa Bay-2020","Bigmouth buffalo",1
"102","2020","Macassa Bay","Macassa Bay-2020","Bluegill",2.66666666666667
"103","2020","Macassa Bay","Macassa Bay-2020","Brook silverside",3.2
"104","2020","Macassa Bay","Macassa Bay-2020","Brown bullhead",4.61538461538461
"105","2020","Macassa Bay","Macassa Bay-2020","Carp",1
"106","2020","Macassa Bay","Macassa Bay-2020","Emerald shiner",1.8
"107","2020","Macassa Bay","Macassa Bay-2020","Gizzard shad",19.0666666666667
"108","2020","Macassa Bay","Macassa Bay-2020","Goldfish",1.375
"109","2020","Macassa Bay","Macassa Bay-2020","Largemouth bass",2.375
"110","2020","Macassa Bay","Macassa Bay-2020","Logperch",7.5
"111","2020","Macassa Bay","Macassa Bay-2020","Pumpkinseed",1.25
"112","2020","Macassa Bay","Macassa Bay-2020","Rock bass",2
"113","2020","Macassa Bay","Macassa Bay-2020","Rudd",2
"114","2020","Macassa Bay","Macassa Bay-2020","Spottail shiner",1.75
"115","2020","Macassa Bay","Macassa Bay-2020","Walleye(yellow pickerel)",1
"116","2020","Macassa Bay","Macassa Bay-2020","White perch",1
"117","2020","Macassa Bay","Macassa Bay-2020","Yellow perch",1.66666666666667
"118","2020","Piers 5-7","Piers 5-7-2020","Alewife",1
"119","2020","Piers 5-7","Piers 5-7-2020","Bluegill",3.8
"120","2020","Piers 5-7","Piers 5-7-2020","Brook silverside",1.5
"121","2020","Piers 5-7","Piers 5-7-2020","Brown bullhead",2
"122","2020","Piers 5-7","Piers 5-7-2020","Gizzard shad",7.77777777777778
"123","2020","Piers 5-7","Piers 5-7-2020","Largemouth bass",5.5
"124","2020","Piers 5-7","Piers 5-7-2020","Logperch",14.5714285714286
"125","2020","Piers 5-7","Piers 5-7-2020","Pumpkinseed",2.33333333333333
"126","2020","Piers 5-7","Piers 5-7-2020","Rock bass",6.8
"127","2020","Piers 5-7","Piers 5-7-2020","Round Goby",1
"128","2020","Piers 5-7","Piers 5-7-2020","Rudd",1
"129","2020","Piers 5-7","Piers 5-7-2020","Spottail shiner",1
"130","2020","Piers 5-7","Piers 5-7-2020","Walleye(yellow pickerel)",1
"131","2020","Piers 5-7","Piers 5-7-2020","White perch",1.66666666666667
"132","2020","Piers 5-7","Piers 5-7-2020","Yellow perch",3.5
"133","2021","Construction Site","Construction Site-2021","Brook silverside",3
"134","2021","Construction Site","Construction Site-2021","Brown bullhead",1
"135","2021","Construction Site","Construction Site-2021","Gizzard shad",4
"136","2021","Construction Site","Construction Site-2021","Walleye(yellow pickerel)",1
"137","2021","Macassa Bay","Macassa Bay-2021","Alewife",1
"138","2021","Macassa Bay","Macassa Bay-2021","Bluegill",2.81818181818182
"139","2021","Macassa Bay","Macassa Bay-2021","Brook silverside",6.42857142857143
"140","2021","Macassa Bay","Macassa Bay-2021","Brown bullhead",2
"141","2021","Macassa Bay","Macassa Bay-2021","Carp",1
"142","2021","Macassa Bay","Macassa Bay-2021","Emerald shiner",1.8
"143","2021","Macassa Bay","Macassa Bay-2021","Gizzard shad",4.42857142857143
"144","2021","Macassa Bay","Macassa Bay-2021","Goldfish",1.88888888888889
"145","2021","Macassa Bay","Macassa Bay-2021","Largemouth bass",4.33333333333333
"146","2021","Macassa Bay","Macassa Bay-2021","Logperch",2.33333333333333
"147","2021","Macassa Bay","Macassa Bay-2021","Northern pike",1
"148","2021","Macassa Bay","Macassa Bay-2021","Pumpkinseed",2.25
"149","2021","Macassa Bay","Macassa Bay-2021","Rock bass",1.33333333333333
"150","2021","Macassa Bay","Macassa Bay-2021","Rudd",1.6
"151","2021","Macassa Bay","Macassa Bay-2021","Spottail shiner",1
"152","2021","Macassa Bay","Macassa Bay-2021","White perch",1.33333333333333
"153","2021","Macassa Bay","Macassa Bay-2021","White sucker",1
"154","2021","Macassa Bay","Macassa Bay-2021","Yellow perch",2.5
"155","2021","Piers 5-7","Piers 5-7-2021","Bigmouth buffalo",1
"156","2021","Piers 5-7","Piers 5-7-2021","Bluegill",1.8
"157","2021","Piers 5-7","Piers 5-7-2021","Brook silverside",3.5
"158","2021","Piers 5-7","Piers 5-7-2021","Brown bullhead",1
"159","2021","Piers 5-7","Piers 5-7-2021","Emerald shiner",1
"160","2021","Piers 5-7","Piers 5-7-2021","Gizzard shad",3
"161","2021","Piers 5-7","Piers 5-7-2021","Goldfish",1
"162","2021","Piers 5-7","Piers 5-7-2021","Largemouth bass",1.5
"163","2021","Piers 5-7","Piers 5-7-2021","Logperch",2
"164","2021","Piers 5-7","Piers 5-7-2021","Pumpkinseed",1
"165","2021","Piers 5-7","Piers 5-7-2021","Rock bass",1.5
"166","2021","Piers 5-7","Piers 5-7-2021","Rudd",2
"167","2021","Piers 5-7","Piers 5-7-2021","Spottail shiner",1
"168","2021","Piers 5-7","Piers 5-7-2021","Walleye(yellow pickerel)",1
"169","2021","Piers 5-7","Piers 5-7-2021","White perch",1
"170","2021","Piers 5-7","Piers 5-7-2021","Yellow perch",1
"171","2022","Construction Site","Construction Site-2022","Brook silverside",12
"172","2022","Construction Site","Construction Site-2022","Gizzard shad",1.5
"173","2022","Construction Site","Construction Site-2022","Largemouth bass",4
"174","2022","Construction Site","Construction Site-2022","Logperch",2
"175","2022","Construction Site","Construction Site-2022","Rock bass",3
"176","2022","Macassa Bay","Macassa Bay-2022","Alewife",1.33333333333333
"177","2022","Macassa Bay","Macassa Bay-2022","Bigmouth buffalo",1
"178","2022","Macassa Bay","Macassa Bay-2022","Bluegill",2.14285714285714
"179","2022","Macassa Bay","Macassa Bay-2022","Bluntnose minnow",1
"180","2022","Macassa Bay","Macassa Bay-2022","Brook silverside",9
"181","2022","Macassa Bay","Macassa Bay-2022","Brown bullhead",3.6
"182","2022","Macassa Bay","Macassa Bay-2022","Carp",1
"183","2022","Macassa Bay","Macassa Bay-2022","Chinook salmon",1
"184","2022","Macassa Bay","Macassa Bay-2022","Gizzard shad",3.25
"185","2022","Macassa Bay","Macassa Bay-2022","Goldfish",2
"186","2022","Macassa Bay","Macassa Bay-2022","Largemouth bass",5.875
"187","2022","Macassa Bay","Macassa Bay-2022","Logperch",1
"188","2022","Macassa Bay","Macassa Bay-2022","Pumpkinseed",1.5
"189","2022","Macassa Bay","Macassa Bay-2022","Rock bass",2
"190","2022","Macassa Bay","Macassa Bay-2022","Rudd",5.66666666666667
"191","2022","Macassa Bay","Macassa Bay-2022","Spottail shiner",8
"192","2022","Macassa Bay","Macassa Bay-2022","Walleye(yellow pickerel)",1
"193","2022","Macassa Bay","Macassa Bay-2022","White perch",6.25
"194","2022","Macassa Bay","Macassa Bay-2022","White sucker",1
"195","2022","Macassa Bay","Macassa Bay-2022","Yellow perch",2.4
"196","2022","Piers 5-7","Piers 5-7-2022","Bluegill",6
"197","2022","Piers 5-7","Piers 5-7-2022","Brook silverside",9
"198","2022","Piers 5-7","Piers 5-7-2022","Brown bullhead",7
"199","2022","Piers 5-7","Piers 5-7-2022","Chinook salmon",1
"200","2022","Piers 5-7","Piers 5-7-2022","Gizzard shad",6.75
"201","2022","Piers 5-7","Piers 5-7-2022","Green sunfish",1
"202","2022","Piers 5-7","Piers 5-7-2022","Largemouth bass",3.28571428571429
"203","2022","Piers 5-7","Piers 5-7-2022","Logperch",7.6
"204","2022","Piers 5-7","Piers 5-7-2022","Pumpkinseed",4
"205","2022","Piers 5-7","Piers 5-7-2022","Rock bass",4.16666666666667
"206","2022","Piers 5-7","Piers 5-7-2022","Rudd",1.5
"207","2022","Piers 5-7","Piers 5-7-2022","Walleye(yellow pickerel)",1
"208","2022","Piers 5-7","Piers 5-7-2022","White perch",1.5
"209","2022","Piers 5-7","Piers 5-7-2022","Yellow perch",1
"210","2023","Construction Site","Construction Site-2023","Bluegill",3
"211","2023","Construction Site","Construction Site-2023","Brook silverside",3
"212","2023","Construction Site","Construction Site-2023","Brown bullhead",2
"213","2023","Construction Site","Construction Site-2023","Gizzard shad",2.33333333333333
"214","2023","Construction Site","Construction Site-2023","Largemouth bass",19
"215","2023","Construction Site","Construction Site-2023","Logperch",18
"216","2023","Construction Site","Construction Site-2023","Pumpkinseed",2
"217","2023","Construction Site","Construction Site-2023","Rock bass",2
"218","2023","Construction Site","Construction Site-2023","Rudd",1
"219","2023","Construction Site","Construction Site-2023","Walleye(yellow pickerel)",1
"220","2023","Construction Site","Construction Site-2023","White perch",4.5
"221","2023","Macassa Bay","Macassa Bay-2023","Bluegill",7.8
"222","2023","Macassa Bay","Macassa Bay-2023","Brook silverside",2
"223","2023","Macassa Bay","Macassa Bay-2023","Brown bullhead",2
"224","2023","Macassa Bay","Macassa Bay-2023","Common shiner",1
"225","2023","Macassa Bay","Macassa Bay-2023","Emerald shiner",2
"226","2023","Macassa Bay","Macassa Bay-2023","Gizzard shad",10
"227","2023","Macassa Bay","Macassa Bay-2023","Golden shiner",3
"228","2023","Macassa Bay","Macassa Bay-2023","Goldfish",1
"229","2023","Macassa Bay","Macassa Bay-2023","Largemouth bass",7.6
"230","2023","Macassa Bay","Macassa Bay-2023","Logperch",5.25
"231","2023","Macassa Bay","Macassa Bay-2023","Pumpkinseed",6.6
"232","2023","Macassa Bay","Macassa Bay-2023","Rock bass",3.33333333333333
"233","2023","Macassa Bay","Macassa Bay-2023","Rudd",6.6
"234","2023","Macassa Bay","Macassa Bay-2023","Spottail shiner",8
"235","2023","Macassa Bay","Macassa Bay-2023","White perch",2.5
"236","2023","Macassa Bay","Macassa Bay-2023","White sucker",2
"237","2023","Macassa Bay","Macassa Bay-2023","Yellow perch",6
"238","2023","Piers 5-7","Piers 5-7-2023","American eel",1
"239","2023","Piers 5-7","Piers 5-7-2023","Bigmouth buffalo",1
"240","2023","Piers 5-7","Piers 5-7-2023","Bluegill",8.2
"241","2023","Piers 5-7","Piers 5-7-2023","Brook silverside",1.5
"242","2023","Piers 5-7","Piers 5-7-2023","Brown bullhead",2.66666666666667
"243","2023","Piers 5-7","Piers 5-7-2023","Gizzard shad",8.71428571428571
"244","2023","Piers 5-7","Piers 5-7-2023","Green sunfish",1.66666666666667
"245","2023","Piers 5-7","Piers 5-7-2023","Largemouth bass",4.66666666666667
"246","2023","Piers 5-7","Piers 5-7-2023","Logperch",8
"247","2023","Piers 5-7","Piers 5-7-2023","Pumpkinseed",5
"248","2023","Piers 5-7","Piers 5-7-2023","Rock bass",4.85714285714286
"249","2023","Piers 5-7","Piers 5-7-2023","Round Goby",2
"250","2023","Piers 5-7","Piers 5-7-2023","Rudd",1
"251","2023","Piers 5-7","Piers 5-7-2023","Smallmouth bass",1.5
"252","2023","Piers 5-7","Piers 5-7-2023","Spottail shiner",1
"253","2023","Piers 5-7","Piers 5-7-2023","Walleye(yellow pickerel)",1
"254","2023","Piers 5-7","Piers 5-7-2023","White perch",2.66666666666667
"255","2023","Piers 5-7","Piers 5-7-2023","White sucker",2
"256","2023","Piers 5-7","Piers 5-7-2023","Yellow perch",1
