"","Common_Name","Year","Area","AreaYear","Transect","Count"
"122","Brook silverside","2023","Macassa Bay","Macassa Bay-2023","HH60",2
"123","Brook silverside","2023","Piers 5-7","Piers 5-7-2023","HH50",2
"124","Brook silverside","2023","Piers 5-7","Piers 5-7-2023","HH53",1
"125","Brown bullhead","2018","Macassa Bay","Macassa Bay-2018","HH55",1
"126","Brown bullhead","2018","Macassa Bay","Macassa Bay-2018","HH56",1
"127","Brown bullhead","2018","Macassa Bay","Macassa Bay-2018","HH59",3
"128","Brown bullhead","2018","Macassa Bay","Macassa Bay-2018","HH60",2
"129","Brown bullhead","2018","Piers 5-7","Piers 5-7-2018","HH50",1
"130","Brown bullhead","2018","Piers 5-7","Piers 5-7-2018","HH51",1
"131","Brown bullhead","2018","Piers 5-7","Piers 5-7-2018","HH53",2
"132","Brown bullhead","2019","Macassa Bay","Macassa Bay-2019","HH55",11
"133","Brown bullhead","2019","Macassa Bay","Macassa Bay-2019","HH56",6
"134","Brown bullhead","2019","Macassa Bay","Macassa Bay-2019","HH57",2
"135","Brown bullhead","2019","Macassa Bay","Macassa Bay-2019","HH58",7
"136","Brown bullhead","2019","Macassa Bay","Macassa Bay-2019","HH59",5
"137","Brown bullhead","2019","Macassa Bay","Macassa Bay-2019","HH60",17
"138","Brown bullhead","2019","Piers 5-7","Piers 5-7-2019","HH51",1
"139","Brown bullhead","2019","Piers 5-7","Piers 5-7-2019","HH53",1
"140","Brown bullhead","2020","Macassa Bay","Macassa Bay-2020","HH55",22
"141","Brown bullhead","2020","Macassa Bay","Macassa Bay-2020","HH56",3
"142","Brown bullhead","2020","Macassa Bay","Macassa Bay-2020","HH58",10
"143","Brown bullhead","2020","Macassa Bay","Macassa Bay-2020","HH59",13
"144","Brown bullhead","2020","Macassa Bay","Macassa Bay-2020","HH60",12
"145","Brown bullhead","2020","Piers 5-7","Piers 5-7-2020","HH50",2
"146","Brown bullhead","2021","Construction Site","Construction Site-2021","HH52",1
"147","Brown bullhead","2021","Macassa Bay","Macassa Bay-2021","HH55",4
"148","Brown bullhead","2021","Macassa Bay","Macassa Bay-2021","HH57",1
"149","Brown bullhead","2021","Macassa Bay","Macassa Bay-2021","HH58",6
"150","Brown bullhead","2021","Macassa Bay","Macassa Bay-2021","HH59",1
"151","Brown bullhead","2021","Macassa Bay","Macassa Bay-2021","HH60",4
"152","Brown bullhead","2021","Piers 5-7","Piers 5-7-2021","HH50",1
"153","Brown bullhead","2022","Macassa Bay","Macassa Bay-2022","HH55",2
"154","Brown bullhead","2022","Macassa Bay","Macassa Bay-2022","HH56",2
"155","Brown bullhead","2022","Macassa Bay","Macassa Bay-2022","HH57",5
"156","Brown bullhead","2022","Macassa Bay","Macassa Bay-2022","HH58",3
"157","Brown bullhead","2022","Macassa Bay","Macassa Bay-2022","HH59",6
"158","Brown bullhead","2022","Piers 5-7","Piers 5-7-2022","HH51",13
"159","Brown bullhead","2022","Piers 5-7","Piers 5-7-2022","HH54",1
"160","Brown bullhead","2023","Construction Site","Construction Site-2023","HH52",2
"161","Brown bullhead","2023","Macassa Bay","Macassa Bay-2023","HH55",1
"162","Brown bullhead","2023","Macassa Bay","Macassa Bay-2023","HH56",2
"163","Brown bullhead","2023","Macassa Bay","Macassa Bay-2023","HH60",3
"164","Brown bullhead","2023","Piers 5-7","Piers 5-7-2023","HH50",3
"165","Brown bullhead","2023","Piers 5-7","Piers 5-7-2023","HH53",3
"166","Brown bullhead","2023","Piers 5-7","Piers 5-7-2023","HH54",2
"167","Carp","2018","Construction Site","Construction Site-2018","HH52",1
"168","Carp","2018","Macassa Bay","Macassa Bay-2018","HH56",1
"169","Carp","2018","Macassa Bay","Macassa Bay-2018","HH59",1
"170","Carp","2018","Macassa Bay","Macassa Bay-2018","HH60",1
"171","Carp","2019","Macassa Bay","Macassa Bay-2019","HH58",2
"172","Carp","2019","Macassa Bay","Macassa Bay-2019","HH60",1
"173","Carp","2019","Piers 5-7","Piers 5-7-2019","HH50",1
"174","Carp","2019","Piers 5-7","Piers 5-7-2019","HH53",1
"175","Carp","2020","Macassa Bay","Macassa Bay-2020","HH58",1
"176","Carp","2020","Macassa Bay","Macassa Bay-2020","HH60",1
"177","Carp","2021","Macassa Bay","Macassa Bay-2021","HH60",1
"178","Carp","2022","Macassa Bay","Macassa Bay-2022","HH57",1
"179","Carp","2022","Macassa Bay","Macassa Bay-2022","HH59",1
"180","Carp x Goldfish hybrid","2018","Macassa Bay","Macassa Bay-2018","HH59",1
"181","Chinook salmon","2019","Macassa Bay","Macassa Bay-2019","HH57",1
"182","Chinook salmon","2022","Macassa Bay","Macassa Bay-2022","HH55",1
"183","Chinook salmon","2022","Piers 5-7","Piers 5-7-2022","HH50",1
"184","Common shiner","2023","Macassa Bay","Macassa Bay-2023","HH60",1
"185","Emerald shiner","2019","Macassa Bay","Macassa Bay-2019","HH55",5
"186","Emerald shiner","2019","Macassa Bay","Macassa Bay-2019","HH56",7
"187","Emerald shiner","2019","Macassa Bay","Macassa Bay-2019","HH58",2
"188","Emerald shiner","2019","Macassa Bay","Macassa Bay-2019","HH59",5
"189","Emerald shiner","2019","Piers 5-7","Piers 5-7-2019","HH50",1
"190","Emerald shiner","2019","Piers 5-7","Piers 5-7-2019","HH51",1
"191","Emerald shiner","2019","Piers 5-7","Piers 5-7-2019","HH53",4
"192","Emerald shiner","2019","Piers 5-7","Piers 5-7-2019","HH54",8
"193","Emerald shiner","2020","Macassa Bay","Macassa Bay-2020","HH56",2
"194","Emerald shiner","2020","Macassa Bay","Macassa Bay-2020","HH57",1
"195","Emerald shiner","2020","Macassa Bay","Macassa Bay-2020","HH59",4
"196","Emerald shiner","2020","Macassa Bay","Macassa Bay-2020","HH60",2
"197","Emerald shiner","2021","Macassa Bay","Macassa Bay-2021","HH56",1
"198","Emerald shiner","2021","Macassa Bay","Macassa Bay-2021","HH57",2
"199","Emerald shiner","2021","Macassa Bay","Macassa Bay-2021","HH59",3
"200","Emerald shiner","2021","Macassa Bay","Macassa Bay-2021","HH60",3
"201","Emerald shiner","2021","Piers 5-7","Piers 5-7-2021","HH50",1
"202","Emerald shiner","2023","Macassa Bay","Macassa Bay-2023","HH59",2
"203","Emerald shiner","2023","Macassa Bay","Macassa Bay-2023","HH60",2
"204","Gizzard shad","2018","Construction Site","Construction Site-2018","HH52",30
"205","Gizzard shad","2018","Macassa Bay","Macassa Bay-2018","HH55",11
"206","Gizzard shad","2018","Macassa Bay","Macassa Bay-2018","HH56",8
"207","Gizzard shad","2018","Macassa Bay","Macassa Bay-2018","HH57",10
"208","Gizzard shad","2018","Macassa Bay","Macassa Bay-2018","HH58",20
"209","Gizzard shad","2018","Macassa Bay","Macassa Bay-2018","HH59",31
"210","Gizzard shad","2018","Macassa Bay","Macassa Bay-2018","HH60",18
"211","Gizzard shad","2018","Piers 5-7","Piers 5-7-2018","HH50",43
"212","Gizzard shad","2018","Piers 5-7","Piers 5-7-2018","HH51",48
"213","Gizzard shad","2018","Piers 5-7","Piers 5-7-2018","HH53",42
"214","Gizzard shad","2018","Piers 5-7","Piers 5-7-2018","HH54",4
"215","Gizzard shad","2019","Construction Site","Construction Site-2019","HH52",14
"216","Gizzard shad","2019","Macassa Bay","Macassa Bay-2019","HH55",19
"217","Gizzard shad","2019","Macassa Bay","Macassa Bay-2019","HH56",14
"218","Gizzard shad","2019","Macassa Bay","Macassa Bay-2019","HH57",6
"219","Gizzard shad","2019","Macassa Bay","Macassa Bay-2019","HH58",2
"220","Gizzard shad","2019","Macassa Bay","Macassa Bay-2019","HH59",12
"221","Gizzard shad","2019","Macassa Bay","Macassa Bay-2019","HH60",7
"222","Gizzard shad","2019","Piers 5-7","Piers 5-7-2019","HH50",13
"223","Gizzard shad","2019","Piers 5-7","Piers 5-7-2019","HH51",12
"224","Gizzard shad","2019","Piers 5-7","Piers 5-7-2019","HH53",18
"225","Gizzard shad","2019","Piers 5-7","Piers 5-7-2019","HH54",4
"226","Gizzard shad","2020","Construction Site","Construction Site-2020","HH52",26
"227","Gizzard shad","2020","Macassa Bay","Macassa Bay-2020","HH55",43
"228","Gizzard shad","2020","Macassa Bay","Macassa Bay-2020","HH56",23
"229","Gizzard shad","2020","Macassa Bay","Macassa Bay-2020","HH57",27
"230","Gizzard shad","2020","Macassa Bay","Macassa Bay-2020","HH58",26
"231","Gizzard shad","2020","Macassa Bay","Macassa Bay-2020","HH59",18
"232","Gizzard shad","2020","Macassa Bay","Macassa Bay-2020","HH60",5
"233","Gizzard shad","2020","Piers 5-7","Piers 5-7-2020","HH50",22
"234","Gizzard shad","2020","Piers 5-7","Piers 5-7-2020","HH51",8
"235","Gizzard shad","2020","Piers 5-7","Piers 5-7-2020","HH53",3
"236","Gizzard shad","2020","Piers 5-7","Piers 5-7-2020","HH54",37
"237","Gizzard shad","2021","Construction Site","Construction Site-2021","HH52",12
"238","Gizzard shad","2021","Macassa Bay","Macassa Bay-2021","HH55",10
"239","Gizzard shad","2021","Macassa Bay","Macassa Bay-2021","HH56",8
"240","Gizzard shad","2021","Macassa Bay","Macassa Bay-2021","HH57",22
"241","Gizzard shad","2021","Macassa Bay","Macassa Bay-2021","HH58",14
"242","Gizzard shad","2021","Macassa Bay","Macassa Bay-2021","HH59",4
"243","Gizzard shad","2021","Macassa Bay","Macassa Bay-2021","HH60",4
"244","Gizzard shad","2021","Piers 5-7","Piers 5-7-2021","HH50",8
"245","Gizzard shad","2021","Piers 5-7","Piers 5-7-2021","HH51",1
"246","Gizzard shad","2021","Piers 5-7","Piers 5-7-2021","HH53",8
"247","Gizzard shad","2021","Piers 5-7","Piers 5-7-2021","HH54",7
"248","Gizzard shad","2022","Construction Site","Construction Site-2022","HH52",3
"249","Gizzard shad","2022","Macassa Bay","Macassa Bay-2022","HH55",2
"250","Gizzard shad","2022","Macassa Bay","Macassa Bay-2022","HH56",2
"251","Gizzard shad","2022","Macassa Bay","Macassa Bay-2022","HH58",5
"252","Gizzard shad","2022","Macassa Bay","Macassa Bay-2022","HH59",4
"253","Gizzard shad","2022","Piers 5-7","Piers 5-7-2022","HH50",7
"254","Gizzard shad","2022","Piers 5-7","Piers 5-7-2022","HH51",14
"255","Gizzard shad","2022","Piers 5-7","Piers 5-7-2022","HH53",6
"256","Gizzard shad","2023","Construction Site","Construction Site-2023","HH52",7
"257","Gizzard shad","2023","Macassa Bay","Macassa Bay-2023","HH55",14
"258","Gizzard shad","2023","Macassa Bay","Macassa Bay-2023","HH58",15
"259","Gizzard shad","2023","Macassa Bay","Macassa Bay-2023","HH60",1
"260","Gizzard shad","2023","Piers 5-7","Piers 5-7-2023","HH50",17
"261","Gizzard shad","2023","Piers 5-7","Piers 5-7-2023","HH51",16
"262","Gizzard shad","2023","Piers 5-7","Piers 5-7-2023","HH53",8
"263","Gizzard shad","2023","Piers 5-7","Piers 5-7-2023","HH54",20
"264","Golden shiner","2023","Macassa Bay","Macassa Bay-2023","HH59",3
"265","Goldfish","2018","Macassa Bay","Macassa Bay-2018","HH55",1
"266","Goldfish","2018","Macassa Bay","Macassa Bay-2018","HH59",2
"267","Goldfish","2018","Macassa Bay","Macassa Bay-2018","HH60",1
"268","Goldfish","2018","Piers 5-7","Piers 5-7-2018","HH51",1
"269","Goldfish","2019","Construction Site","Construction Site-2019","HH52",1
"270","Goldfish","2019","Macassa Bay","Macassa Bay-2019","HH55",5
"271","Goldfish","2019","Macassa Bay","Macassa Bay-2019","HH58",1
"272","Goldfish","2019","Macassa Bay","Macassa Bay-2019","HH60",3
"273","Goldfish","2020","Macassa Bay","Macassa Bay-2020","HH55",5
"274","Goldfish","2020","Macassa Bay","Macassa Bay-2020","HH58",2
"275","Goldfish","2020","Macassa Bay","Macassa Bay-2020","HH59",2
"276","Goldfish","2020","Macassa Bay","Macassa Bay-2020","HH60",2
"277","Goldfish","2021","Macassa Bay","Macassa Bay-2021","HH55",8
"278","Goldfish","2021","Macassa Bay","Macassa Bay-2021","HH58",2
"279","Goldfish","2021","Macassa Bay","Macassa Bay-2021","HH59",3
"280","Goldfish","2021","Macassa Bay","Macassa Bay-2021","HH60",4
"281","Goldfish","2021","Piers 5-7","Piers 5-7-2021","HH51",1
"282","Goldfish","2022","Macassa Bay","Macassa Bay-2022","HH56",2
"283","Goldfish","2022","Macassa Bay","Macassa Bay-2022","HH59",2
"284","Goldfish","2023","Macassa Bay","Macassa Bay-2023","HH55",1
"285","Green sunfish","2019","Macassa Bay","Macassa Bay-2019","HH55",1
"286","Green sunfish","2022","Piers 5-7","Piers 5-7-2022","HH50",1
"287","Green sunfish","2022","Piers 5-7","Piers 5-7-2022","HH53",2
"288","Green sunfish","2023","Piers 5-7","Piers 5-7-2023","HH50",2
"289","Green sunfish","2023","Piers 5-7","Piers 5-7-2023","HH53",2
"290","Green sunfish","2023","Piers 5-7","Piers 5-7-2023","HH54",1
"291","Largemouth bass","2018","Construction Site","Construction Site-2018","HH52",2
"292","Largemouth bass","2018","Macassa Bay","Macassa Bay-2018","HH55",3
"293","Largemouth bass","2018","Macassa Bay","Macassa Bay-2018","HH56",1
"294","Largemouth bass","2018","Macassa Bay","Macassa Bay-2018","HH59",2
"295","Largemouth bass","2018","Macassa Bay","Macassa Bay-2018","HH60",1
"296","Largemouth bass","2018","Piers 5-7","Piers 5-7-2018","HH50",9
"297","Largemouth bass","2018","Piers 5-7","Piers 5-7-2018","HH51",17
"298","Largemouth bass","2019","Construction Site","Construction Site-2019","HH52",2
"299","Largemouth bass","2019","Macassa Bay","Macassa Bay-2019","HH55",9
"300","Largemouth bass","2019","Macassa Bay","Macassa Bay-2019","HH59",5
"301","Largemouth bass","2019","Macassa Bay","Macassa Bay-2019","HH60",6
"302","Largemouth bass","2019","Piers 5-7","Piers 5-7-2019","HH50",12
"303","Largemouth bass","2019","Piers 5-7","Piers 5-7-2019","HH51",14
"304","Largemouth bass","2019","Piers 5-7","Piers 5-7-2019","HH53",11
"305","Largemouth bass","2020","Construction Site","Construction Site-2020","HH52",3
"306","Largemouth bass","2020","Macassa Bay","Macassa Bay-2020","HH55",2
"307","Largemouth bass","2020","Macassa Bay","Macassa Bay-2020","HH56",2
"308","Largemouth bass","2020","Macassa Bay","Macassa Bay-2020","HH59",4
"309","Largemouth bass","2020","Macassa Bay","Macassa Bay-2020","HH60",11
"310","Largemouth bass","2020","Piers 5-7","Piers 5-7-2020","HH50",10
"311","Largemouth bass","2020","Piers 5-7","Piers 5-7-2020","HH51",14
"312","Largemouth bass","2020","Piers 5-7","Piers 5-7-2020","HH53",9
"313","Largemouth bass","2021","Macassa Bay","Macassa Bay-2021","HH55",21
"314","Largemouth bass","2021","Macassa Bay","Macassa Bay-2021","HH56",2
"315","Largemouth bass","2021","Macassa Bay","Macassa Bay-2021","HH58",5
"316","Largemouth bass","2021","Macassa Bay","Macassa Bay-2021","HH59",3
"317","Largemouth bass","2021","Macassa Bay","Macassa Bay-2021","HH60",21
"318","Largemouth bass","2021","Piers 5-7","Piers 5-7-2021","HH50",1
"319","Largemouth bass","2021","Piers 5-7","Piers 5-7-2021","HH53",2
"320","Largemouth bass","2022","Construction Site","Construction Site-2022","HH52",4
"321","Largemouth bass","2022","Macassa Bay","Macassa Bay-2022","HH55",15
"322","Largemouth bass","2022","Macassa Bay","Macassa Bay-2022","HH56",8
"323","Largemouth bass","2022","Macassa Bay","Macassa Bay-2022","HH57",7
"324","Largemouth bass","2022","Macassa Bay","Macassa Bay-2022","HH58",9
"325","Largemouth bass","2022","Macassa Bay","Macassa Bay-2022","HH59",8
"326","Largemouth bass","2022","Piers 5-7","Piers 5-7-2022","HH50",7
"327","Largemouth bass","2022","Piers 5-7","Piers 5-7-2022","HH51",4
"328","Largemouth bass","2022","Piers 5-7","Piers 5-7-2022","HH53",6
"329","Largemouth bass","2022","Piers 5-7","Piers 5-7-2022","HH54",6
"330","Largemouth bass","2023","Construction Site","Construction Site-2023","HH52",19
"331","Largemouth bass","2023","Macassa Bay","Macassa Bay-2023","HH55",6
"332","Largemouth bass","2023","Macassa Bay","Macassa Bay-2023","HH56",5
"333","Largemouth bass","2023","Macassa Bay","Macassa Bay-2023","HH58",2
"334","Largemouth bass","2023","Macassa Bay","Macassa Bay-2023","HH59",17
"335","Largemouth bass","2023","Macassa Bay","Macassa Bay-2023","HH60",8
"336","Largemouth bass","2023","Piers 5-7","Piers 5-7-2023","HH50",5
"337","Largemouth bass","2023","Piers 5-7","Piers 5-7-2023","HH51",10
"338","Largemouth bass","2023","Piers 5-7","Piers 5-7-2023","HH53",1
"339","Largemouth bass","2023","Piers 5-7","Piers 5-7-2023","HH54",12
"340","Logperch","2018","Piers 5-7","Piers 5-7-2018","HH50",1
"341","Logperch","2018","Piers 5-7","Piers 5-7-2018","HH51",22
"342","Logperch","2019","Construction Site","Construction Site-2019","HH52",14
"343","Logperch","2019","Macassa Bay","Macassa Bay-2019","HH55",2
"344","Logperch","2019","Macassa Bay","Macassa Bay-2019","HH56",1
"345","Logperch","2019","Macassa Bay","Macassa Bay-2019","HH57",1
"346","Logperch","2019","Macassa Bay","Macassa Bay-2019","HH59",15
"347","Logperch","2019","Macassa Bay","Macassa Bay-2019","HH60",4
"348","Logperch","2019","Piers 5-7","Piers 5-7-2019","HH50",7
"349","Logperch","2019","Piers 5-7","Piers 5-7-2019","HH51",18
"350","Logperch","2019","Piers 5-7","Piers 5-7-2019","HH53",8
"351","Logperch","2020","Construction Site","Construction Site-2020","HH52",10
"352","Logperch","2020","Macassa Bay","Macassa Bay-2020","HH56",4
"353","Logperch","2020","Macassa Bay","Macassa Bay-2020","HH59",2
"354","Logperch","2020","Macassa Bay","Macassa Bay-2020","HH60",24
"355","Logperch","2020","Piers 5-7","Piers 5-7-2020","HH50",21
"356","Logperch","2020","Piers 5-7","Piers 5-7-2020","HH51",39
"357","Logperch","2020","Piers 5-7","Piers 5-7-2020","HH53",31
"358","Logperch","2020","Piers 5-7","Piers 5-7-2020","HH54",1
"359","Logperch","2021","Macassa Bay","Macassa Bay-2021","HH55",6
"360","Logperch","2021","Macassa Bay","Macassa Bay-2021","HH57",2
"361","Logperch","2021","Macassa Bay","Macassa Bay-2021","HH58",5
"362","Logperch","2021","Macassa Bay","Macassa Bay-2021","HH60",1
"363","Logperch","2021","Piers 5-7","Piers 5-7-2021","HH50",2
"364","Logperch","2021","Piers 5-7","Piers 5-7-2021","HH51",1
"365","Logperch","2021","Piers 5-7","Piers 5-7-2021","HH53",5
"366","Logperch","2021","Piers 5-7","Piers 5-7-2021","HH54",2
"367","Logperch","2022","Construction Site","Construction Site-2022","HH52",2
"368","Logperch","2022","Macassa Bay","Macassa Bay-2022","HH55",2
"369","Logperch","2022","Macassa Bay","Macassa Bay-2022","HH56",1
