Sample,Location,Transect,Date,Species,Individual_id,Batch_count,Batch_weight,Estimate,Biomass,Length,Weight,Number Individuals
9393,HAMH,HH38,2018-05-23,F0063,5,,,N,8239,355,679,12
9393,HAMH,HH38,2018-05-23,F0063,6,,,N,8239,352,594,12
9393,HAMH,HH38,2018-05-23,F0063,7,,,N,8239,330,743,12
9393,HAMH,HH38,2018-05-23,F0063,8,,,N,8239,365,688,12
9393,HAMH,HH38,2018-05-23,F0063,9,,,N,8239,380,918,12
9393,HAMH,HH38,2018-05-23,F0063,10,,,N,8239,382,709,12
9393,HAMH,HH38,2018-05-23,F0063,11,,,N,8239,355,641,12
9393,HAMH,HH38,2018-05-23,F0063,12,,,N,8239,352,612,12
9393,HAMH,HH38,2018-05-23,F0163,1,,,N,1430,470,1430,1
9393,HAMH,HH38,2018-05-23,F0181,1,,,N,106,175,106,1
9393,HAMH,HH38,2018-05-23,F0196,1,,,N,31,65,6,10
9393,HAMH,HH38,2018-05-23,F0196,2,,,N,31,58,4,10
9393,HAMH,HH38,2018-05-23,F0196,3,,,N,31,63,6,10
9393,HAMH,HH38,2018-05-23,F0196,4,,,N,31,48,1,10
9393,HAMH,HH38,2018-05-23,F0196,5,,,N,31,62,1,10
9393,HAMH,HH38,2018-05-23,F0196,6,,,N,31,66,4,10
9393,HAMH,HH38,2018-05-23,F0196,7,,,N,31,58,2,10
9393,HAMH,HH38,2018-05-23,F0196,8,,,N,31,67,3,10
9393,HAMH,HH38,2018-05-23,F0196,9,,,N,31,56,1,10
9393,HAMH,HH38,2018-05-23,F0196,10,,,N,31,58,3,10
9393,HAMH,HH38,2018-05-23,F0317,1,,,N,4550,485,2700,2
9393,HAMH,HH38,2018-05-23,F0317,2,,,N,4550,465,1850,2
9394,HAMH,HH39,2018-05-24,F0061,1,,,N,13,108,13,1
9394,HAMH,HH39,2018-05-24,F0063,1,,,N,1360,355,590,2
9394,HAMH,HH39,2018-05-24,F0063,2,,,N,1360,383,770,2
9394,HAMH,HH39,2018-05-24,F0181,1,,,N,105,160,105,1
9394,HAMH,HH39,2018-05-24,F0186,1,,,N,2947,540,2947,1
9394,HAMH,HH39,2018-05-24,F0196,1,,,N,16,77,5,4
9394,HAMH,HH39,2018-05-24,F0196,2,,,N,16,72,5,4
9394,HAMH,HH39,2018-05-24,F0196,3,,,N,16,64,3,4
9394,HAMH,HH39,2018-05-24,F0196,4,,,N,16,69,3,4
9394,HAMH,HH39,2018-05-24,F0233,1,,,N,590,344,590,1
9394,HAMH,HH39,2018-05-24,F0311,1,,,N,230,195,230,1
9394,HAMH,HH39,2018-05-24,F0314,1,,,N,79,90,10,4
9394,HAMH,HH39,2018-05-24,F0314,2,,,N,79,104,23,4
9394,HAMH,HH39,2018-05-24,F0314,3,,,N,79,95,16,4
9394,HAMH,HH39,2018-05-24,F0314,4,,,N,79,160,30,4
9394,HAMH,HH39,2018-05-24,F0331,1,,,N,172,157,41,3
9394,HAMH,HH39,2018-05-24,F0331,2,,,N,172,91,89,3
9394,HAMH,HH39,2018-05-24,F0331,3,,,N,172,145,42,3
9395,HAMH,HH41B,2018-05-24,F0061,1,,,N,42,117,15,3
9395,HAMH,HH41B,2018-05-24,F0061,2,,,N,42,130,20,3
9395,HAMH,HH41B,2018-05-24,F0061,3,,,N,42,100,7,3
9395,HAMH,HH41B,2018-05-24,F0063,1,,,N,3440,344,621,5
9395,HAMH,HH41B,2018-05-24,F0063,2,,,N,3440,345,541,5
9395,HAMH,HH41B,2018-05-24,F0063,3,,,N,3440,367,705,5
9395,HAMH,HH41B,2018-05-24,F0063,4,,,N,3440,393,987,5
9395,HAMH,HH41B,2018-05-24,F0063,5,,,N,3440,355,586,5
9395,HAMH,HH41B,2018-05-24,F0163,1,,,N,1566,491,1566,1
9395,HAMH,HH41B,2018-05-24,F0196,1,,,N,15,70,1,5
9395,HAMH,HH41B,2018-05-24,F0196,2,,,N,15,65,3,5
9395,HAMH,HH41B,2018-05-24,F0196,3,,,N,15,67,3,5
9395,HAMH,HH41B,2018-05-24,F0196,4,,,N,15,69,3,5
9395,HAMH,HH41B,2018-05-24,F0196,5,,,N,15,78,5,5
9395,HAMH,HH41B,2018-05-24,F0301,1,,,N,121,204,121,1
9395,HAMH,HH41B,2018-05-24,F0311,1,,,N,497,225,295,2
9395,HAMH,HH41B,2018-05-24,F0311,2,,,N,497,203,202,2
9395,HAMH,HH41B,2018-05-24,F0342,1,,,N,4,80,4,1
9396,HAMH,HH42A,2018-05-24,F0063,1,,,N,699,369,699,1
9396,HAMH,HH42A,2018-05-24,F0163,1,,,N,1357,482,1357,1
9396,HAMH,HH42A,2018-05-24,F0186,1,,,N,4360,555,4360,1
9396,HAMH,HH42A,2018-05-24,F0233,1,,,N,589,275,348,2
9396,HAMH,HH42A,2018-05-24,F0233,2,,,N,589,234,241,2
9396,HAMH,HH42A,2018-05-24,F0301,1,,,N,223,125,31,5
9396,HAMH,HH42A,2018-05-24,F0301,2,,,N,223,134,33,5
9396,HAMH,HH42A,2018-05-24,F0301,3,,,N,223,127,36,5
9396,HAMH,HH42A,2018-05-24,F0301,4,,,N,223,127,34,5
9396,HAMH,HH42A,2018-05-24,F0301,5,,,N,223,172,89,5
9396,HAMH,HH42A,2018-05-24,F0311,1,,,N,320,104,25,3
9396,HAMH,HH42A,2018-05-24,F0311,2,,,N,320,116,30,3
9396,HAMH,HH42A,2018-05-24,F0311,3,,,N,320,226,265,3
9396,HAMH,HH42A,2018-05-24,F0331,1,,,N,81,179,81,1
9397,HAMH,HH42B,2018-05-24,F0063,1,,,N,12086,463,657,18
9397,HAMH,HH42B,2018-05-24,F0063,2,,,N,12086,351,559,18
9397,HAMH,HH42B,2018-05-24,F0063,3,,,N,12086,389,818,18
9397,HAMH,HH42B,2018-05-24,F0063,4,,,N,12086,359,600,18
9397,HAMH,HH42B,2018-05-24,F0063,5,,,N,12086,369,639,18
9397,HAMH,HH42B,2018-05-24,F0063,6,,,N,12086,354,614,18
9397,HAMH,HH42B,2018-05-24,F0063,7,,,N,12086,400,863,18
9397,HAMH,HH42B,2018-05-24,F0063,8,,,N,12086,376,786,18
9397,HAMH,HH42B,2018-05-24,F0063,9,,,N,12086,359,579,18
9397,HAMH,HH42B,2018-05-24,F0063,10,,,N,12086,363,689,18
9397,HAMH,HH42B,2018-05-24,F0063,11,,,N,12086,360,763,18
9397,HAMH,HH42B,2018-05-24,F0063,12,,,N,12086,349,623,18
9397,HAMH,HH42B,2018-05-24,F0063,13,,,N,12086,365,591,18
9397,HAMH,HH42B,2018-05-24,F0063,14,,,N,12086,347,549,18
9397,HAMH,HH42B,2018-05-24,F0063,15,,,N,12086,370,800,18
9397,HAMH,HH42B,2018-05-24,F0063,16,,,N,12086,372,699,18
9397,HAMH,HH42B,2018-05-24,F0063,17,,,N,12086,363,621,18
9397,HAMH,HH42B,2018-05-24,F0063,18,,,N,12086,370,636,18
9397,HAMH,HH42B,2018-05-24,F0163,1,,,N,1774,390,712,2
9397,HAMH,HH42B,2018-05-24,F0163,2,,,N,1774,438,1062,2
9397,HAMH,HH42B,2018-05-24,F0186,1,,,N,12260,615,4450,3
9397,HAMH,HH42B,2018-05-24,F0186,2,,,N,12260,555,3580,3
9397,HAMH,HH42B,2018-05-24,F0186,3,,,N,12260,570,4230,3
9397,HAMH,HH42B,2018-05-24,F0311,1,,,N,883,283,237,5
9397,HAMH,HH42B,2018-05-24,F0311,2,,,N,883,220,280,5
9397,HAMH,HH42B,2018-05-24,F0311,3,,,N,883,198,191,5
9397,HAMH,HH42B,2018-05-24,F0311,4,,,N,883,190,148,5
9397,HAMH,HH42B,2018-05-24,F0311,5,,,N,883,105,27,5
9397,HAMH,HH42B,2018-05-24,F0314,1,,,N,75,147,75,1
9397,HAMH,HH42B,2018-05-24,F0331,1,,,N,390,291,390,1
9397,HAMH,HH42B,2018-05-24,F0334,1,,,N,2290,571,2290,1
9398,HAMH,HH44,2018-05-24,F0061,1,,,N,11,108,11,1
9398,HAMH,HH44,2018-05-24,F0063,1,,,N,2658,358,599,4
9398,HAMH,HH44,2018-05-24,F0063,2,,,N,2658,372,741,4
9398,HAMH,HH44,2018-05-24,F0063,3,,,N,2658,350,696,4
9398,HAMH,HH44,2018-05-24,F0063,4,,,N,2658,370,622,4
9398,HAMH,HH44,2018-05-24,F0163,1,,,N,157,226,157,1
9398,HAMH,HH44,2018-05-24,F0220,1,,,N,42,145,42,1
9398,HAMH,HH44,2018-05-24,F0301,1,,,N,310,185,127,4
9398,HAMH,HH44,2018-05-24,F0301,2,,,N,310,117,27,4
9398,HAMH,HH44,2018-05-24,F0301,3,,,N,310,126,31,4
9398,HAMH,HH44,2018-05-24,F0301,4,,,N,310,181,125,4
9399,HAMH,HH45,2018-05-24,F0063,1,,,N,12773,372,753,18
9399,HAMH,HH45,2018-05-24,F0063,2,,,N,12773,350,581,18
9399,HAMH,HH45,2018-05-24,F0063,3,,,N,12773,375,776,18
9399,HAMH,HH45,2018-05-24,F0063,4,,,N,12773,359,675,18
9399,HAMH,HH45,2018-05-24,F0063,5,,,N,12773,376,731,18
9399,HAMH,HH45,2018-05-24,F0063,6,,,N,12773,411,1288,18
9399,HAMH,HH45,2018-05-24,F0063,7,,,N,12773,362,740,18
9399,HAMH,HH45,2018-05-24,F0063,8,,,N,12773,354,634,18
9399,HAMH,HH45,2018-05-24,F0063,9,,,N,12773,363,637,18
9399,HAMH,HH45,2018-05-24,F0063,10,,,N,12773,346,678,18
9399,HAMH,HH45,2018-05-24,F0063,11,,,N,12773,354,628,18
9399,HAMH,HH45,2018-05-24,F0063,12,,,N,12773,351,550,18
9399,HAMH,HH45,2018-05-24,F0063,13,,,N,12773,368,754,18
9399,HAMH,HH45,2018-05-24,F0063,14,,,N,12773,366,787,18
9399,HAMH,HH45,2018-05-24,F0063,15,,,N,12773,370,666,18
9399,HAMH,HH45,2018-05-24,F0063,16,,,N,12773,354,575,18
9399,HAMH,HH45,2018-05-24,F0063,17,,,N,12773,358,678,18
9399,HAMH,HH45,2018-05-24,F0063,18,,,N,12773,360,642,18
9399,HAMH,HH45,2018-05-24,F0181,1,,,N,920,295,920,1
9399,HAMH,HH45,2018-05-24,F0186,1,,,N,10540,398,1330,3
9399,HAMH,HH45,2018-05-24,F0186,2,,,N,10540,589,4400,3
9399,HAMH,HH45,2018-05-24,F0186,3,,,N,10540,570,4810,3
9399,HAMH,HH45,2018-05-24,F0301,1,,,N,256,211,168,2
9399,HAMH,HH45,2018-05-24,F0301,2,,,N,256,170,88,2
9400,HAMH,HH2,2018-06-22,F0301,1,,,N,34,129,34,1
9400,HAMH,HH2,2018-06-22,F0311,1,,,N,80,150,80,1
9401,HAMH,HH4,2018-06-22,F0301,1,,,N,137,141,49,4
9401,HAMH,HH4,2018-06-22,F0301,2,,,N,137,121,28,4
9401,HAMH,HH4,2018-06-22,F0301,3,,,N,137,127,30,4
9401,HAMH,HH4,2018-06-22,F0301,4,,,N,137,123,30,4
9402,HAMH,HH6,2018-06-22,F0163,1,,,N,250,272,250,1
9403,HAMH,HH8,2018-06-22,F0301,1,,,N,52,116,23,2
9403,HAMH,HH8,2018-06-22,F0301,2,,,N,52,131,29,2
9403,HAMH,HH8,2018-06-22,F0371,1,,,N,2240,582,2240,1
9404,HAMH,HH2,2018-06-21,F0063,1,,,N,7161,357,638,11
9404,HAMH,HH2,2018-06-21,F0063,2,,,N,7161,361,610,11
9404,HAMH,HH2,2018-06-21,F0063,3,,,N,7161,363,716,11
9404,HAMH,HH2,2018-06-21,F0063,4,,,N,7161,364,624,11
9404,HAMH,HH2,2018-06-21,F0063,5,,,N,7161,362,714,11
9404,HAMH,HH2,2018-06-21,F0063,6,,,N,7161,376,733,11
9404,HAMH,HH2,2018-06-21,F0063,7,,,N,7161,352,618,11
9404,HAMH,HH2,2018-06-21,F0063,8,,,N,7161,350,574,11
9404,HAMH,HH2,2018-06-21,F0063,9,,,N,7161,351,668,11
9404,HAMH,HH2,2018-06-21,F0063,10,,,N,7161,356,610,11
9404,HAMH,HH2,2018-06-21,F0063,11,,,N,7161,366,656,11
9404,HAMH,HH2,2018-06-21,F0186,1,,,N,3760,581,3760,1
9404,HAMH,HH2,2018-06-21,F0220,1,,,N,12,93,6,2
9404,HAMH,HH2,2018-06-21,F0220,2,,,N,12,94,6,2
9404,HAMH,HH2,2018-06-21,F0317,1,,,N,4229,459,1760,3
9404,HAMH,HH2,2018-06-21,F0317,2,,,N,4229,445,1690,3
9404,HAMH,HH2,2018-06-21,F0317,3,,,N,4229,348,779,3
9405,HAMH,HH41B,2018-06-21,F0061,1,,,N,35,137,35,1
9405,HAMH,HH41B,2018-06-21,F0063,1,,,N,2159,375,741,3
9405,HAMH,HH41B,2018-06-21,F0063,2,,,N,2159,385,856,3
9405,HAMH,HH41B,2018-06-21,F0063,3,,,N,2159,339,562,3
9405,HAMH,HH41B,2018-06-21,F0181,1,,,N,758,301,758,1
9405,HAMH,HH41B,2018-06-21,F0220,1,,,N,33,91,11,3
9405,HAMH,HH41B,2018-06-21,F0220,2,,,N,33,100,17,3
9405,HAMH,HH41B,2018-06-21,F0220,3,,,N,33,68,5,3
9405,HAMH,HH41B,2018-06-21,F0233,1,,,N,500,325,500,1
9405,HAMH,HH41B,2018-06-21,F0317,1,,,N,223,247,223,1
9405,HAMH,HH41B,2018-06-21,F0334,1,,,N,2300,577,2300,1
9406,HAMH,HH39,2018-06-21,F0063,1,,,N,8605,361,622,12
9406,HAMH,HH39,2018-06-21,F0063,2,,,N,8605,338,566,12
9406,HAMH,HH39,2018-06-21,F0063,3,,,N,8605,366,749,12
9406,HAMH,HH39,2018-06-21,F0063,4,,,N,8605,372,756,12
9406,HAMH,HH39,2018-06-21,F0063,5,,,N,8605,350,944,12
9406,HAMH,HH39,2018-06-21,F0063,6,,,N,8605,394,796,12
9406,HAMH,HH39,2018-06-21,F0063,7,,,N,8605,370,694,12
9406,HAMH,HH39,2018-06-21,F0063,8,,,N,8605,358,647,12
9406,HAMH,HH39,2018-06-21,F0063,9,,,N,8605,359,655,12
9406,HAMH,HH39,2018-06-21,F0063,10,,,N,8605,367,698,12
9406,HAMH,HH39,2018-06-21,F0063,11,,,N,8605,370,787,12
9406,HAMH,HH39,2018-06-21,F0063,12,,,N,8605,360,691,12
9406,HAMH,HH39,2018-06-21,F0181,1,,,N,902,315,902,1
9406,HAMH,HH39,2018-06-21,F0186,1,,,N,355,563,355,1
9406,HAMH,HH39,2018-06-21,F0201,1,,,N,3,75,3,1
9406,HAMH,HH39,2018-06-21,F0220,1,,,N,196,187,124,5
9406,HAMH,HH39,2018-06-21,F0220,2,,,N,196,185,55,5
9406,HAMH,HH39,2018-06-21,F0220,3,,,N,196,79,3,5
9406,HAMH,HH39,2018-06-21,F0220,4,,,N,196,69,4,5
9406,HAMH,HH39,2018-06-21,F0220,5,,,N,196,88,10,5
9406,HAMH,HH39,2018-06-21,F0331,1,,,N,87,163,87,1
9406,HAMH,HH39,2018-06-21,F0361,1,,,N,3,84,3,1
9407,HAMH,HH37,2018-06-21,F0061,1,,,N,26,121,26,1
9407,HAMH,HH37,2018-06-21,F0063,1,,,N,10296,350,580,16
9407,HAMH,HH37,2018-06-21,F0063,2,,,N,10296,358,586,16
9407,HAMH,HH37,2018-06-21,F0063,3,,,N,10296,392,782,16
9407,HAMH,HH37,2018-06-21,F0063,4,,,N,10296,379,655,16
9407,HAMH,HH37,2018-06-21,F0063,5,,,N,10296,352,628,16
9407,HAMH,HH37,2018-06-21,F0063,6,,,N,10296,355,702,16
9407,HAMH,HH37,2018-06-21,F0063,7,,,N,10296,320,500,16
9407,HAMH,HH37,2018-06-21,F0063,8,,,N,10296,344,553,16
9407,HAMH,HH37,2018-06-21,F0063,9,,,N,10296,359,640,16
9407,HAMH,HH37,2018-06-21,F0063,10,,,N,10296,360,634,16
9407,HAMH,HH37,2018-06-21,F0063,11,,,N,10296,363,704,16
9407,HAMH,HH37,2018-06-21,F0063,12,,,N,10296,350,661,16
9407,HAMH,HH37,2018-06-21,F0063,13,,,N,10296,368,746,16
9407,HAMH,HH37,2018-06-21,F0063,14,,,N,10296,351,644,16
9407,HAMH,HH37,2018-06-21,F0063,15,,,N,10296,341,624,16
9407,HAMH,HH37,2018-06-21,F0063,16,,,N,10296,349,657,16
9407,HAMH,HH37,2018-06-21,F0163,1,,,N,728,375,728,1
9407,HAMH,HH37,2018-06-21,F0220,1,,,N,338,250,338,1
9407,HAMH,HH37,2018-06-21,F0314,1,,,N,46,120,46,1
9407,HAMH,HH37,2018-06-21,F0317,1,,,N,1373,417,1373,1
9408,HAMH,HH22,2018-06-20,F0063,1,,,N,2032,355,576,3
9408,HAMH,HH22,2018-06-20,F0063,2,,,N,2032,360,664,3
